#Britain
170 = "Pedn an Wlas"				#Finistère					|Cornwall?	24.10.20
4373 = "Dewnens"						#Devon						|			24.10.20
235 = "Kint"						#Kent						|			24.10.20
236 = "Loundres"					#London						|			24.10.20
237 = "Rysoghen"					#Oxford						|			24.10.20
245 = "Evrek"						#York						|			24.10.20
373 = "Dulyn"						#Pale						|			24.10.20
1979 = "Enesow Faroe"				#Färöarna					|			24.10.20
4130 = "Gwlas an Hav"				#Somerset					|			24.10.20
4369 = "Karvyrdhin"					#Carmarthen					|			24.10.20
233 = "Kernow"						#Cornwall					|			24.10.20
4365 = "Manow"						#Mann						|			24.10.20
