1 = "O Pho Lan"
1 = "Toc Hàm"								#Stockholm				|			12.05.19
2 = "Dong Uoc Lan"
44 = "Hàm Phu"								#Hamburg				|incomplete	12.05.19
50 = "Bá Linh"								#Berlin					|			12.05.19
97 = "Am Tuoc Dàm"							#Amsterdam				|incomplete	12.05.19
101 = "Giai Noa"							#Genoa					|			12.05.19
102 = "Niet Xa"								#Nice					|incomplete	12.05.19
118 = "La Mã"								#Roma					|			12.05.19
121 = "Nap Bo Lê"							#Napoli					|incomplete	12.05.19
134 = "Viên"								#Wien					|			12.05.19
182 = "Cong Bi Niet"
183 = "Ba Lê"								#Paris					|			12.05.19
213 = "Ba Xà Luân"							#Barcelona				|			12.05.19
220 = "Ba Linh Xa"							#València				|			12.05.19
236 = "Luân Ðôn"							#London					|			12.05.19
266 = "Thiep Khau"							#Praha					|incomplete	12.05.19
257 = "Vác Sa Va"							#Warszawa				|			12.05.19
361 = "Kê Thành"							#Cairo					|			12.05.19
373 = "Ðap Lân"								#Pale					|incomplete	12.05.19
379 = "Gia Liêm"							#Judea					|			12.05.19
410 = "Bác Dat"								#Baghdad				|incomplete	12.05.19
428 = "Te Lan"								#Teheran				|incomplete	12.05.19
522 = "Ðe Ly"								#Delhi					|incomplete	12.05.19
594 = "Tà Nê"								#Pattani				|			12.05.19
600 = "Thuong Thanh"
601 = "To Kha Thái"							#Sukhothai				|incomplete	26.03.22
604 = "Ô Ðông"								#Oudong					|			27.04.21
605 = "Gia Ðinh"							#Prey Nokor				|incomplete	12.02.19
606 = "Phan Rang"							#Panduranga				|			17.05.19
607 = "Quy Nhon"							#Vijaya					|			17.05.19
608 = "Ba Thac"								#Champassak				|incomplete	12.05.19
609 = "Ngô Ca"								#Angkor					|			12.05.19
610 = "Thanh Hóa"							#Thanh Hoa				|			02.12.23
612 = "Co Lac"								#Khorat					|incomplete	27.04.21
614 = "Van Tuong"							#Vientiane				|incomplete	12.05.19
615 = "Luang Pha Bang"						#Luang Prabang			|Lão Qua?	12.05.19	
616 = "Cao Bang"							#Cao Bang				|incomplete	27.04.21
622 = "Tam Phat Te"							#Palembang				|incomplete	12.05.19
661 = "Ðai Lý"								#Dali					|incomplete	26.03.22
662 = "Côn Minh"							#Kunming				|			02.02.21
663 = "Quang Nam"							#Guangnan				|incomplete	16.05.20
664 = "Lang Vân"							#Lingyun				|incomplete	16.05.20
665 = "Trieu Khánh"							#Zhaoqing				|incomplete	15.05.20
656 = "Ma Ní"								#Manila					|			12.05.19
666 = "Quynh Châu"							#Qiongzhou				|			06.07.20
667 = "Quang Châu"							#Guangzhou				|incomplete	12.05.19
668 = "Áo Môn"								#Macau					|			12.05.19
669 = "Phúc Châu"							#Fuzhou					|			16.05.20
670 = "Cám Châu"							#Ganzhou				|			16.05.20
671 = "Truong Sa"							#Changsha				|incomplete	16.05.20
672 = "Thuong Duc"							#Changde				|incomplete	16.05.20
674 = "Quý Duong"							#Guiyang				|incomplete	16.05.20
673 = "Tran Vien"							#Zhenyuan				|incomplete	16.05.20
679 = "Thành Dô"							#Chengdu				|			12.05.19
680 = "Trùng Khánh"							#Chongqing				|			12.05.19
681 = "Nghi Xuong"							#Yichang				|			12.05.20
682 = "Vu Xuong"							#Wuchang				|incomplete	12.05.20
683 = "Nam Xuong"							#Nanchang				|			16.05.20
684 = "Hàng Châu"							#Hangzhou				|			16.05.20
685 = "Duong Châu"							#Yangzhou				|incomplete	16.05.20
