#Country Name: Please see filename.
graphical_culture = northamericagfx
color = { 4 162 77 }
revolutionary_colors = { 0 6 0 }
historical_idea_groups = {
  religious_ideas
  defensive_ideas
  offensive_ideas
  trade_ideas
  diplomatic_ideas
  plutocracy_ideas
  spy_ideas
  economic_ideas
}
historical_units = {
  native_indian_archer
  native_indian_tribal_warfare
  native_indian_horsemen
  native_indian_mountain_warfare
  iroquois_rifle_scout
  sioux_dragoon
  american_western_franchise_warfare
}
monarch_names = {
  "庞蒂亚克 #0" = 20 	# Pontiac #0
  "奥博韦 #0" = 20 	# Aubauway #0
  "卡瓦切万 #0" = 20 	# Kawachewan #0
  "索加莫 #0" = 20 	# Sawgamaw #0
  "欧加斯 #0" = 20 	# Ogouse #0
  "瓦斯加希克 #0" = 20 	# Wasgashick #0
  "卡瓦苟斯卡姆 #0" = 20 	# Kewagoushcum #0
  "诺考吉冈 #0" = 20 	# Nokawjegaun #0
  "基奥陶布 #0" = 20 	# Keeotoawbe #0
  "克钦美柴那瓦 #0" = 20 	# Ketchemechinawaw #0
  "艾珀散斯 #0" = 20 	# Eppesanse #0
  "凯尼威 #0" = 20 	# Kayneewee #0
  "莫阿普托 #0" = 20 	# Moaputto #0
  "玛切皮纳齐维西 #0" = 20 	# Matchepeenachewish #0
  "魏维斯齐亚 #0" = 20 	# Wewiskia #0
  "尼基 #0" = 20 	# Neagey #0
  "奥古诗维 #0" = 20 	# Augooshaway #0
  "基诺沙米克 #0" = 20 	# Keenoshameek #0
  "玛其维塔 #0" = 20 	# Machiwetah #0
  "首瓦那瓦 #0" = 20 	# Thowonawa #0
  "瑟科 #0" = 20 	# Secaw #0
  "洪那尼加 #0" = -1 	# Hononegah #0
  "瓦册卡 #0" = -1 	# Watseka #0
  "维汉塞加 #0" = -1 	# Wehunsegah #0
  "因纳科 #0" = -1 	# Inoquer #0
}
leader_names = {
  "凯诺切" 	# Keinouche
  "基斯卡孔" 	# Kiskakon
  "纳萨沃克顿" 	# Nassawaketon
  "西那吾" 	# Sinago
  "艾加科奇" 	# Aegakotcheising
  "阿纳米瓦蒂贡" 	# Anamiewatigong
  "阿波蒂贡米" 	# Apontigoumy
  "切伯根" 	# Cheboygan
  "基维诺" 	# Keweenaw
  "马潮内" 	# Machonee
  "马内斯地" 	# Manistee
  "米娜比特农" 	# Menawzbetaunaung
  "米歇利马基纳克" 	# Michilimackinac
  "马斯基根" 	# Muskegan
  "奥比杰旺" 	# Obidgewong
  "瓦加纳基西" 	# Waganakisi
  "韦克通辛" 	# Wequetonsing
  "阿古沙瓦斯" 	# Agushawas
  "梅斯基马尤" 	# Meshkemau
  "奥贡兹" 	# Ogontz
  "奥夸诺萨" 	# Oquanoxa
  "塔瓦" 	# Tawa
  "托达戈尼" 	# Tondagonie
  "图什克根" 	# Tushquegan
  "沃高" 	# Waugau
  "埃卡内托顿" 	# Ekanetoton
  "马尼托瓦宁" 	# Manitowaning
  "马尼图林" 	# Manitoulin
  "希吉安达" 	# Shenguiandah
  "谢塞格瓦宁" 	# Shehsegwaning
  "布瓦农" 	# Bkwjwanong
  "威克威米孔" 	# Wikwemikong
  "契瓜密冈" 	# Chequamegon
  "米奇加米" 	# Mitchigami
  "沙巴雅贡" 	# Shabawywyagun
  "凯纳特罗斯" 	# Kaienatroene
  "马斯卡西尼克" 	# Maskasinik
  "尼基库耶克" 	# Nikikouek
  "尼斯卡" 	# Niscak
  "安顿塔根" 	# Ontontagen
  "瓦切斯凯苏恩" 	# Ouacheskkesouen
  "奥塔瓦卡米古" 	# Outaouakamigou
  "萨尼塔维伽马" 	# Sagnitaouigama
}
ship_names = {
  "梭鱼" 	# Keinouche
  "基斯卡孔" 	# Kiskakon
  "纳萨沃克顿" 	# Nassawaketon
  "西那吾" 	# Sinago
  "艾加科奇" 	# Aegakotcheising
  "阿纳米瓦蒂贡" 	# Anamiewatigong
  "阿波蒂贡米" 	# Apontigoumy
  "切伯根" 	# Cheboygan
  "基维诺" 	# Keweenaw
  "马潮内" 	# Machonee
  "马内斯地" 	# Manistee
  "米娜比特农" 	# Menawzbetaunaung
  "米歇利马基纳克" 	# Michilimackinac
  "马斯基根" 	# Muskegan
  "奥比杰旺" 	# Obidgewong
  "瓦加纳基西" 	# Waganakisi
  "韦克通辛" 	# Wequetonsing
  "阿古沙瓦斯" 	# Agushawas
  "梅斯基马尤" 	# Meshkemau
  "奥贡兹" 	# Ogontz
  "奥夸诺萨" 	# Oquanoxa
  "塔瓦" 	# Tawa
  "托达戈尼" 	# Tondagonie
  "图什克根" 	# Tushquegan
  "沃高" 	# Waugau
  "埃卡内托顿" 	# Ekanetoton
  "神灵之窟" 	# Manitowaning
  "马尼图林" 	# Manitoulin
  "希吉安达" 	# Shenguiandah
  "谢塞格瓦宁" 	# Shehsegwaning
  "布瓦农" 	# Bkwjwanong
  "威克威米孔" 	# Wikwemikong
  "契瓜密冈" 	# Chequamegon
  "米奇加米" 	# Mitchigami
  "沙巴雅贡" 	# Shabawywyagun
  "凯纳特罗斯" 	# Kaienatroene
  "马斯卡西尼克" 	# Maskasinik
  "尼基库耶克" 	# Nikikouek
  "尼斯卡" 	# Niscak
  "安顿塔根" 	# Ontontagen
  "瓦切斯凯苏恩" 	# Ouacheskkesouen
  "奥塔瓦卡米古" 	# Outaouakamigou
  "萨尼塔维伽马" 	# Sagnitaouigama
}
