#Country Name: Please see filename.
graphical_culture = westerngfx
color = { 33 101 137 }
revolutionary_colors = { 5 0 5 }
historical_score = 50
preferred_religion = protestant
historical_idea_groups = {
  religious_ideas
  trade_ideas
  defensive_ideas
  economic_ideas
  innovativeness_ideas
  offensive_ideas
  administrative_ideas
  spy_ideas
}
historical_units = {
  western_medieval_infantry
  western_medieval_knights
  western_men_at_arms
  swiss_landsknechten
  dutch_maurician
  austrian_tercio
  austrian_grenzer
  austrian_hussar
  austrian_white_coat
  austrian_jaeger
  mixed_order_infantry
  open_order_cavalry
  napoleonic_square
  napoleonic_lancers
}
monarch_names = {
  "海因里希 #1" = 40 	# Heinrich #1
  "约翰 #1" = 40 	# Johann #1
  "格哈德 #2" = 20 	# Gerhard #2
  "腓特烈 #1" = 20 	# Friedrich #1
  "奥托 #1" = 20 	# Otto #1
  "鲍德温 #0" = 20 	# Baldwin #0
  "克里斯托夫 #0" = 20 	# Christoph #0
  "格奥尔格 #0" = 20 	# Georg #0
  "约翰 阿道夫 #0" = 20 	# Johann Adolf #0
  "约翰 腓特烈 #0" = 20 	# Johann Friedrich #0
  "尼古拉 #0" = 20 	# Nicolaus #0
  "布克哈德 #2" = 15 	# Burkhard #2
  "阿尔布雷希特 #1" = 15 	# Albrecht #1
  "戈特弗里德 #1" = 15 	# Gottfried #1
  "伯恩哈德 #1" = 10 	# Bernhard #1
  "佛罗伦 #1" = 10 	# Florent #1
  "亚当 #0" = 0 	# Adam #0
  "亚历山大 #0" = 0 	# Alexander #0
  "安德烈亚斯 #0" = 0 	# Andreas #0
  "巴尔德尔 #0" = 0 	# Baldur #0
  "布鲁诺 #0" = 0 	# Bruno #0
  "克莱门斯 #0" = 0 	# Clemens #0
  "丹尼斯 #0" = 0 	# Denis #0
  "埃克哈德 #0" = 0 	# Eckhard #0
  "恩斯特 #0" = 0 	# Ernst #0
  "弗洛里安 #0" = 0 	# Florian #0
  "格雷戈尔 #0" = 0 	# Gregor #0
  "赫尔姆弗里德 #0" = 0 	# Helmfried #0
  "赫尔穆特 #0" = 0 	# Helmut #0
  "艾萨克 #0" = 0 	# Isaak #0
  "约阿希姆 #0" = 0 	# Joachim #0
  "于尔根 #0" = 0 	# Jürgen #0
  "克劳斯 #0" = 0 	# Klaus #0
  "马丁 #0" = 0 	# Martin #0
  "马克西米利安 #0" = 0 	# Maximilian #0
  "米夏埃尔 #0" = 0 	# Michael #0
  "莱纳 #0" = 0 	# Rainer #0
  "鲁道夫 #0" = 0 	# Rudolf #0
  "西格特 #0" = 0 	# Siegert #0
  "西格蒙德 #0" = 0 	# Siegmund #0
  "维瑞娜 #0" = -1 	# Verena #0
  "艾莉克希娅 #0" = -1 	# Alexia #0
  "贝娅特丽克丝 #0" = -1 	# Beatrix #0
}
leader_names = {
  "阿德勒" 	# Adler
  "阿勒斯" 	# Alers
  "贝克" 	# Bake
  "贝克罗格" 	# Beckröge
  "贝吉乌斯" 	# Bergius
  "伯宁豪森" 	# Berninghausen
  "博尔肯" 	# Boelken
  "贝尔海姆" 	# Bollheim
  "布里尔" 	# Brill
  "狄里亚斯" 	# Delius
  "德雷瓦斯" 	# Drewers
  "恩格斯" 	# Engels
  "菲克" 	# Ficke
  "福克哈德" 	# Foukhard
  "格弗肯" 	# Geffken
  "吉尔德迈斯特" 	# Gildemeister
  "格罗弗曼" 	# Grovermann
  "哈帕赫" 	# Happach
  "海姆布鲁赫" 	# Heimbruch
  "欣克" 	# Hinke
  "金特" 	# Kindt
  "库讷" 	# Köhne
  "克雷夫廷" 	# Krefting
  "拉波尔特" 	# Laporte
  "吕宁" 	# Löning
  "迈耶" 	# Meyer
  "奥尔里克斯" 	# Oelrichs
  "奥德曼" 	# Ordemann
  "赖纳斯" 	# Reiners
  "罗德" 	# Rohde
  "桑德斯" 	# Sanders
  "舒尔肯" 	# Schulken
  "施泰因瓦克斯" 	# Steinwachs
  "施图肯" 	# Stucken
  "特鲁尼特" 	# Truernitt
  "冯 博贝特" 	# von Bobert
  "冯 卡佩尔恩" 	# von Cappeln
  "冯 霍尔滕" 	# von Holten
  "冯 霍恩" 	# von Horn
  "冯 迈纳茨哈根" 	# von Meinertzhagen
}
ship_names = {
  "吕贝克之鹰" 	# Adler von Lübeck
  "汉堡舰队提督" 	# Admiralität von Hamburg
  "诺亚方舟" 	# Arche Noah
  "花斑母牛" 	# Brunte Kuh
  "雄鹰" 	# Der Große Adler
  "天使加百列" 	# Engel Gabriel
  "飞鹿" 	# Fliegender Hirsch
  "小狐狸" 	# Füchslein
  "盖尔伯 勒弗" 	# Gelber Löve
  "金狮" 	# Goldener Löwe
  "马克伯国" 	# Grafschaft Mark
  "绿龙" 	# Grüner Drache
  "克莱沃公国" 	# Herzogtum Cleve
  "吕贝克的耶稣" 	# Jesus von Lübeck
  "小多俾亚" 	# Jonge Tobias
  "大卫王" 	# König David
  "利奥波德一世" 	# Leopoldus Primus
  "丽莎·冯·吕贝克" 	# Lisa von Lübeck
  "利比亚人的顽抗" 	# Lybischer Trotz
  "吕贝克之鹰" 	# Lübscher Adler
  "玛利亚·卡塔琳娜" 	# Maria Catharina
  "北欧狮" 	# Nordischer Löwe
  "彼得和保罗" 	# Peter und Paul
  "彼得·冯·但泽" 	# Peter von Danzig
  "路德维希亲王" 	# Prinz Ludwig
  "先知但以理" 	# Prophet Daniel
  "骑士圣乔治" 	# Ritter Sankt Georg
  "红鹿" 	# Roter Hirsch
  "圣劳伦斯" 	# Sankt Laurens
  "圣彼得" 	# Sankt Peter
  "黑鸦" 	# Schwarzer Rabe
  "七省" 	# Sieben Provinzien
  "埃姆登城" 	# Stad Emden
  "狮鹫" 	# Vogel Greif
  "不来梅之纹章" 	# Wapen von Bremen
  "汉堡之纹章" 	# Wapen von Hamburg
  "不来梅之纹章" 	# Wappen von Bremen
  "克莱沃之纹章" 	# Wappen von Cleve
  "白狮" 	# Weißer Löwe
  "威廉明娜·玛格丽塔" 	# Wilhelmina Margaretta
  "两兄弟" 	# Zwei Brüder
  "非洲人" 	# Afrikaner
  "安娜" 	# Anna
  "琥珀拾者" 	# Bersteinfänger
  "勃拉克猎犬" 	# Bracke
  "克莱门蒂娅" 	# Clementia
  "科洛尼亚" 	# Colonia
  "德夫林格" 	# Derffinger
  "多萝西娅" 	# Dorothea
  "天使" 	# Engel
  "火球爆炸" 	# Feuerblase
  "幸运" 	# Fortuna
  "和平" 	# Friede
  "富克斯" 	# Fuchs
  "加百列" 	# Gabriel
  "希望" 	# Hoffning
  "约翰内斯堡" 	# Johannesburg
  "选帝候" 	# Kurprinz
  "马鲛" 	# Makarele
  "雄人鱼" 	# Meermann
  "美人鱼" 	# Meerweib
  "墨丘利" 	# Mercurius
  "莫里安" 	# Morian
  "和平" 	# Pax
  "皮耶勒蓬" 	# Pierelepomp
  "罗兰" 	# Roland
  "摩擦鼓" 	# Rommelpot
  "罗森菲尔德" 	# Rosenfelde
  "火蜥蜴" 	# Salamander
  "海鸥" 	# Seemoewe
  "海上骑士" 	# Seeritter
  "苏里希" 	# Syrig
  "水猎犬" 	# Wasserhund
  "灰猎犬" 	# Windhund
  "显圣之云柱" 	# Wolkensäule
}
army_names = {
  "总主教近卫队" 	# Erzbischofliche Garde
  "$PROVINCE$军" 	# Armee von $PROVINCE$
}
