#Country Name: Please see filename.
graphical_culture = westerngfx
color = { 106 178 46 }
revolutionary_colors = { 15 0 16 }
historical_idea_groups = {
  defensive_ideas
  trade_ideas
  religious_ideas
  diplomatic_ideas
  economic_ideas
  innovativeness_ideas
  offensive_ideas
  spy_ideas
}
historical_units = {
  western_medieval_infantry
  western_medieval_knights
  western_men_at_arms
  italian_condotta
  swiss_landsknechten
  french_caracolle
  anglofrench_line
  french_dragoon
  french_bluecoat
  french_cuirassier
  french_impulse
  mixed_order_infantry
  open_order_cavalry
  napoleonic_square
  napoleonic_lancers
}
monarch_names = {
  "蒂亚多鲁 #0" = 20 	# Tiadoru #0
  "埃里库 纪尧姆 #0" = 15 	# Ericcu Ghjilormu #0
  "费代里库 #0" = 15 	# Federicu #0
  "利奥波杜 #0" = 15 	# Leopoldu #0
  "阿尔巴努 #0" = 0 	# Albanu #0
  "阿方苏 #1" = 0 	# Alfonsu #1
  "阿马德乌 #0" = 0 	# Amadeu #0
  "安布罗斯朱 #0" = 0 	# Ambrosgiu #0
  "安德里亚 #0" = 0 	# Andria #0
  "安东内 #0" = 0 	# Antone #0
  "阿蒂利奥 #0" = 0 	# Attilio #0
  "巴西琉 #0" = 0 	# Basiliu #0
  "贝尔纳杜 #0" = 0 	# Bernardu #0
  "博尼法切 #0" = 0 	# Boniface #0
  "布鲁努 #0" = 0 	# Brunu #0
  "卡卢 #0" = 0 	# Carlu #0
  "克劳狄乌 #0" = 0 	# Claudiu #0
  "克莱门特 #0" = 0 	# Clemente #0
  "康拉杜 #0" = 0 	# Conradu #0
  "恩内斯图 #0" = 0 	# Ernestu #0
  "费利切 #0" = 0 	# Felice #0
  "弗朗西斯库 #0" = 0 	# Francescu #0
  "格朱瓦 #0" = 0 	# Ghjuva #0
  "莱安德鲁 #0" = 0 	# Leandru #0
  "莱昂内 #0" = 0 	# Leone #0
  "卢多维库 #0" = 0 	# Ludovicu #0
  "卢伦祖 #0" = 0 	# Lurenzu #0
  "帕特里丘 #0" = 0 	# Patriziu #0
  "保卢 #0" = 0 	# Paulu #0
  "彼得鲁 #0" = 0 	# Petru #0
  "普罗斯珀鲁 #0" = 0 	# Prosperu #0
  "拉伊蒙杜 #0" = 0 	# Raimondu #0
  "雷纳图 #0" = 0 	# Renatu #0
  "萨尔巴多雷 #0" = 0 	# Salbadore #0
  "桑佩卢 #0" = 0 	# Samperu #0
  "萨维卢 #0" = 0 	# Savieru #0
  "斯特凡努 #0" = 0 	# Stefanu #0
  "特里斯塔努 #0" = 0 	# Tristanu #0
  "乌贝图 #0" = 0 	# Ubertu #0
