#Country Name: Please see filename.
graphical_culture = westerngfx
color = { 95 106 207 }
revolutionary_colors = { 8 5 8 }
historical_idea_groups = {
  administrative_ideas
  defensive_ideas
  trade_ideas
  economic_ideas
  offensive_ideas
  diplomatic_ideas
  innovativeness_ideas
  expansion_ideas
}
historical_units = {
  halberd_infantry
  western_medieval_knights
  western_men_at_arms
  swiss_landsknechten
  dutch_maurician
  french_caracolle
  anglofrench_line
  french_dragoon
  french_bluecoat
  french_cuirassier
  french_impulse
  mixed_order_infantry
  open_order_cavalry
  napoleonic_square
  napoleonic_lancers
}
monarch_names = {
  "洛泰尔 #2" = 100 	# Lothair #2
  "阿努尔夫 #1" = 5 	# Arnulf #1
  "兹温提波德 #1" = 1 	# Zwentibold #1
  "腓力 #0" = 20 	# Philippe #0
  "查理 #3" = 60 	# Charles #3
  "路易 #2" = 30 	# Louis #2
  "让 #0" = 20 	# Jean #0
  "路易-亨利 #0" = 20 	# Louis-Henri #0
  "路易-约瑟夫 #0" = 20 	# Louis-Joseph #0
  "亨利 #0" = 10 	# Henri #0
  "安托万 #0" = 10 	# Antoine #0
  "亨利-儒勒 #0" = 10 	# Henri-Jules #0
  "约瑟夫 #0" = 10 	# Joseph #0
  "弗朗索瓦 #0" = 5 	# François #0
  "厄德 #0" = 1 	# Eudes #0
  "罗伯特 #0" = 1 	# Robert #0
  "阿尔芒 #0" = 0 	# Armand #0
  "巴泰勒米 #0" = 0 	# Barthélemy #0
  "伯努瓦 #0" = 0 	# Benoît #0
  "伯纳德 #0" = 0 	# Bernard #0
  "克洛德 #0" = 0 	# Claude #0
  "丹尼斯 #0" = 0 	# Denis #0
  "艾蒂安 #0" = 0 	# Étienne #0
  "欧仁 #0" = 0 	# Eugène #0
  "厄斯塔什 #0" = 0 	# Eustache #0
  "乔治 #0" = 0 	# Georges #0
  "居伊 #0" = 0 	# Guy #0
  "纪尧姆 #0" = 0 	# Guillaume #0
  "伊西多尔 #0" = 0 	# Isidore #0
  "让-巴蒂斯特 #0" = 0 	# Jean-Baptiste #0
  "儒勒 #0" = 0 	# Jules #0
  "马克 #0" = 0 	# Marc #0
  "莫里斯 #0" = 0 	# Maurice #0
  "米歇尔 #0" = 0 	# Michel #0
  "尼古拉 #0" = 0 	# Nicolas #0
  "帕斯卡 #0" = 0 	# Pascal #0
  "皮埃尔 #0" = 0 	# Pierre #0
  "拉乌尔 #0" = 0 	# Raoul #0
  "勒内 #0" = 0 	# René #0
  "塞巴斯蒂安 #0" = 0 	# Sébastien #0
  "西蒙 #0" = 0 	# Simon #0
  "克洛维 #0" = 50 	# Clovis #0
  "克洛多梅尔 #0" = 10 	# Clodomir #0
  "蒂埃里 #0" = 30 	# Thierry #0
  "希尔德里克 #0" = 30 	# Childéric #0
  "希尔德伯特 #0" = 30 	# Childebert #0
  "克洛泰尔 #0" = 20 	# Clotaire #0
  "克洛多 #0" = 0 	# Clodoald #0
  "蒂博 #0" = 0 	# Thibaut #0
  "贡蒂尔 #0" = 0 	# Gonthier #0
  "夏里伯特 #0" = 0 	# Charibert #0
  "贡特朗 #0" = 10 	# Gontran #0
  "西格伯特 #0" = 10 	# Sigebert #0
  "达格伯特 #0" = 10 	# Dagobert #0
  "路易 #0" = 30 	# Louis #0
  "希尔佩里克 #0" = 10 	# Chilpéric #0
  "皮旁 #0" = 20 	# Pépin #0
  "雨果 #0" = 10 	# Hugues #0
  "卡洛曼 #0" = 10 	# Carloman #0
  "Robert #0" = 10
  "阿努尔 #0" = 0 	# Arnoul #0
  "玛丽 #0" = -10 	# Marie #0
  "詹妮薇芙 #0" = -2 	# Geneviève #0
  "安妮 #0" = -1 	# Anne #0
  "路易丝 #0" = -1 	# Louise #0
  "夏洛特 #0" = -1 	# Charlotte #0
  "埃莱娜 #0" = -1 	# Hélène #0
  "埃莉诺 #0" = -1 	# Éléonore #0
  "伊莎贝尔 #0" = -1 	# Isabelle #0
  "凯瑟琳 #0" = -2 	# Catherine #0
  "玛格丽特 #0" = -1 	# Marguerite #0 	#  La Pléiade
  "让娜 #0" = -1 	# Jeanne #0 	#  La Pléiade
  "阿涅丝 #0" = -1 	# Agnès #0 	#  La Pléiade
  "克洛蒂尔德 #0" = -1 	# Clotilde #0
  "伊沃琪德 #0" = -1 	# Evochilde #0
  "苏维戈塔 #0" = -1 	# Suavegotta #0
  "威斯加迪斯 #0" = -1 	# Wisigardis #0
  "阿内贡德 #0" = -1 	# Arnegonde #0
  "英贡德 #0" = -1 	# Ingonde #0
  "拉代贡德 #0" = -1 	# Radegonde #0
  "克洛多斯温特 #0" = -1 	# Clodoswinthe #0
  "布鲁诺 #0" = -1 	# Brunehaut #0
  "蒂迪兰 #0" = -1 	# Thidilane #0
  "菲卢比 #0" = -1 	# Faileube #0
  "阿德莱德 #0" = -1 	# Adélaïde #0
  "贝丝 #0" = -1 	# Berthe #0
  "狄奥德拉德 #0" = -1 	# Théodrade #0
  "安斯加德 #0" = -1 	# Ansgarde #0
  "吉赛勒 #0" = -1 	# Gisèle  #0
  "贝亚特丽斯 #0" = -1 	# Béatrice #0
  "狄奥德柴尔德 #0" = -1 	# Théodechilde #0
}
leader_names = {
  "德 阿班" 	# d'Aban
  "德 阿邦德" 	# d'Abonde
  "阿尔伯洛" 	# Arbelot
  "德 奥克西" 	# d'Auxy
  "德 巴莱" 	# de Balay
  "德 博弗勒蒙" 	# de Bauffremont
  "德 博蒙特" 	# de Beaumont
  "德 伯格雷" 	# de Beugre
  "德 布莱" 	# de Boulay
  "德布儒瓦" 	# de Bourgeois
  "布戈涅蒙泰居" 	# Bourgogne-Montaigu
  "德布拉谢" 	# de Brachet
  "德布里默" 	# de Brimeu
  "德 卡斯坦" 	# de Castaing
  "德沙博" 	# de Chabot
  "德沙隆" 	# de Châlon
  "德沙隆阿尔莱" 	# de Châlon-Arlay
  "德尚迪厄" 	# de Chandieu
  "德沙特吕" 	# de Chastellux
  "德 钦" 	# de Chin
  "德西孔" 	# de Cicon
  "德科利尼" 	# de Coligny
  "德克雷基" 	# de Créquy
