#Country Name: Please see filename.
graphical_culture = westerngfx
color = { 221 41 111 }
historical_idea_groups = {
  trade_ideas
  defensive_ideas
  religious_ideas
  economic_ideas
  innovativeness_ideas
  offensive_ideas
  spy_ideas
  administrative_ideas
}
historical_units = {
  halberd_infantry
  western_medieval_knights
  western_men_at_arms
  swiss_landsknechten
  dutch_maurician
  austrian_tercio
  austrian_grenzer
  austrian_hussar
  austrian_white_coat
  austrian_jaeger
  mixed_order_infantry
  open_order_cavalry
  napoleonic_square
  napoleonic_lancers
}
monarch_names = {
  "弗雷德里克 #0" = 60 	# Frederick #0
  "约翰 #0" = 40 	# Johan #0
  "戈特弗里德 #0" = 20 	# Gottfried #0
  "克里斯托夫 #0" = 0 	# Cristoph #0
  "彼得 #0" = 0 	# Peter #0
  "雅各布 #0" = 0 	# Jacob #0
  "乌勒曼 #0" = 0 	# Ullman #0
  "恩斯特 #0" = 0 	# Ernst #0
  "奥托 #0" = 0 	# Otto #0
  "安德鲁斯 #0" = 0 	# Endres #0
  "汉斯 #0" = 0 	# Hans #0
  "卡尔 威廉 #0" = 0 	# Carl Wilhelm #0
  "约翰 米夏埃尔 #0" = 0 	# Johann Michael #0
  "孔茨 #0" = 0 	# Cunz #0
  "利奥波德 #0" = 0 	# Leopold #0
  "康拉德 #0" = 0 	# Konrad #0
  "威利 #0" = 0 	# Willi #0
  "阿尔布雷希特 #0" = 0 	# Albrecht #0
  "恩格尔伯特 #0" = 0 	# Engelbert #0
  "Gottfried #0" = 0
  "希罗尼穆斯 #0" = 0 	# Hieronymus #0
  "安东 #0" = 0 	# Anton #0
  "伊格纳茨 #0" = 0 	# Ignatz #0
  "马库斯 #0" = 0 	# Markus #0
  "迈因哈德 #0" = 0 	# Meinhard #0
  "拉斐尔 #0" = 0 	# Raphael #0
  "阿黛尔海德 #0" = -1 	# Adelheid #0
  "芙莉德 #0" = -1 	# Friede #0
  "尤莉安妮 #0" = -1 	# Juliane #0
}
leader_names = {
  "阿德勒" 	# Adler
  "阿勒斯" 	# Alers
  "贝克" 	# Bake
  "贝克罗格" 	# Beckröge
  "贝吉乌斯" 	# Bergius
  "伯宁豪森" 	# Berninghausen
  "博尔肯" 	# Boelken
  "贝尔海姆" 	# Bollheim
  "布里尔" 	# Brill
  "狄里亚斯" 	# Delius
  "德雷瓦斯" 	# Drewers
  "恩格斯" 	# Engels
  "菲克" 	# Ficke
  "福克哈德" 	# Foukhard
  "格弗肯" 	# Geffken
  "吉尔德迈斯特" 	# Gildemeister
  "格罗弗曼" 	# Grovermann
  "哈帕赫" 	# Happach
  "海姆布鲁赫" 	# Heimbruch
  "欣克" 	# Hinke
  "金特" 	# Kindt
  "库讷" 	# Köhne
  "克雷夫廷" 	# Krefting
  "拉波尔特" 	# Laporte
  "吕宁" 	# Löning
  "迈耶" 	# Meyer
  "奥尔里克斯" 	# Oelrichs
  "奥德曼" 	# Ordemann
  "赖纳斯" 	# Reiners
  "罗德" 	# Rohde
  "桑德斯" 	# Sanders
  "舒尔肯" 	# Schulken
  "施泰因瓦克斯" 	# Steinwachs
  "施图肯" 	# Stucken
  "特鲁尼特" 	# Truernitt
  "冯 博贝特" 	# von Bobert
  "冯 卡佩尔恩" 	# von Cappeln
  "冯 霍尔滕" 	# von Holten
  "冯 霍恩" 	# von Horn
  "冯 迈纳茨哈根" 	# von Meinertzhagen
  "冯 帕绍" 	# von Passau
  "冯 弗赖辛" 	# von Freising
}
army_names = {
  "$PROVINCE$军团" 	# Armee von $PROVINCE$
}
ship_names = {
  "圣塞巴都" 	# St. Sebaldus
  "纽伦堡" 	# Nürnberg
  "圣基里安" 	# St. Kilian
  "塔西洛三世" 	# Tassilo III
  "阿努尔夫国王" 	# König Arnulf
  "孛根伯爵" 	# Graf von Bogen
  "安德希斯伯爵" 	# Graf von Andechs
  "苏尔茨巴赫伯爵" 	# Graf von Sulzbach
  "维特尔斯巴赫" 	# Wittelsbach
  "第泊勒丁伯爵" 	# Graf von Diepolding
  "奥托" 	# Otto
  "雷根斯堡" 	# Regensburg
  "帕绍" 	# Passau
  "奥格斯堡" 	# Augsburg
  "安德希斯" 	# Andechs
  "布尔高" 	# Burgau
  "迪森" 	# Diessen
  "弗里德堡" 	# Friedberg
  "肯普滕" 	# Kempten
  "林道" 	# Lindau
  "梅明根" 	# Memmingen
  "明德尔河" 	# Mindel
  "厄廷根" 	# Oettingen
  "施特劳宾" 	# Straubing
  "沃尔夫斯泰因" 	# Wolfstein
}
