43 = "但泽" 	# Dantzig
50 = "柏林" 	# Berlyn
56 = "奥斯纳布吕赫" 	# Osnabrugge
65 = "慕尼黑" 	# München
72 = "布赖斯高" 	# Breisgouw
73 = "因河河谷" 	# Inndal
75 = "斯特拉斯堡" 	# Straatsburg
78 = "门慈" 	# Ments
81 = "上黑森" 	# Opper-Hessen
85 = "科隆" 	# Keulen
86 = "曼斯泰" 	# Munster
87 = "卡莱施" 	# Kales
88 = "阿尔特西" 	# Artesië
89 = "皮卡迪" 	# Picardië
90 = "布吕赫" 	# Brugge
91 = "亨埃霍文" 	# Henegouwn
92 = "布拉班特" 	# Brabant
93 = "吕克" 	# Luuk
94 = "卢森堡" 	# Lutzenburgh
95 = "布雷达" 	# Breda
96 = "泽兰" 	# Zeeland
97 = "荷兰" 	# Holland
98 = "乌得勒支" 	# Utrecht
99 = "海尔雷" 	# Gelre
100 = "弗里斯兰" 	# Friesland
134 = "维因" 	# Weenn
168 = "诺曼底" 	# Normandië
182 = "弗曼德兰" 	# Vermandland
183 = "巴黎" 	# Parijs
186 = "利门" 	# Riemen
189 = "洛塔林亨" 	# Lotharingen
192 = "勃艮迪埃" 	# Bourgondië
193 = "弗赖赫拉夫斯哈普" 	# Vrijgraafschap
236 = "伦敦" 	# Londen
266 = "布拉格" 	# Praag
267 = "比尔森" 	# Pilsen
1743 = "康布雷" 	# Kamerijk
1744 = "安特卫普" 	# Antwerpen
1761 = "普法尔茨" 	# Palts
1762 = "下黑森" 	# Neder-Hessen
1763 = "下劳西茨" 	# Neder-Lausitz
1865 = "根特" 	# Gent
1866 = "诺尔姆" 	# Noamn
1876 = "法兰克福" 	# Frankfort
1878 = "亚琛" 	# Aken
1880 = "森德高" 	# Sundgouw
1931 = "东弗里斯兰" 	# Oost-Friesland
2975 = "克莱夫" 	# Kleef
4712 = "康斯坦茨" 	# Konstanz
4765 = "米尔豪曾" 	# Mulhuizen
4767 = "茨韦布吕肯" 	# Tweebruggen
4768 = "胡里克" 	# Gulik
4769 = "雷泽尔" 	# Rysel
4770 = "斯海尔托亨博斯" 	# 's-Hertogenbosch
