484 = "拉瓦纳" 	# La Havane
489 = "龟岛" 	# Ile de la Tortue
492 = "波多黎各" 	# Porto Rico
888 = "阿尔科基萨" 	# Arkokisa
893 = "新奥尔良" 	# Nouvelle Orléans
894 = "伊克尔法布尔" 	# Ecore Fabre
895 = "阿坎西" 	# Arcansea
897 = "小皮埃尔" 	# Petite Pierre
898 = "卡瓦尼亚尔" 	# Cavagnal
899 = "蒙奥萨尔克" 	# Monts aux Arcs
900 = "圣路易" 	# Saint Louis
902 = "奥尔良堡" 	# Fort Orléans
904 = "马林堡" 	# Fort Marin
908 = "明尼苏达" 	# Minnesota
910 = "丰迪拉克" 	# Fond du Lac
911 = "圣伊尼亚斯" 	# Saint Ignace
913 = "普赖里迪希安" 	# Prairie du Chien
914 = "贝伊" 	# La Baye
915 = "皮奥瑞亚" 	# Pimitéoui
918 = "普吕多姆" 	# Prudhomme
919 = "西卡沙" 	# Cicacha
921 = "巴吞鲁日" 	# Baton Rouge
924 = "阿里巴穆" 	# Alibamous
927 = "卡罗林" 	# La Caroline
940 = "路易斯维尔" 	# Louisville
942 = "维亚特农" 	# Ouiaténon
944 = "底特律" 	# Détroit
945 = "米歇利马基纳克" 	# Michilimackinac
946 = "桑达斯凯" 	# Sandoské
947 = "克利夫兰" 	# Chiningué
948 = "贝尔里维耶尔" 	# Belle Rivière
954 = "半岛" 	# Presqu'Isle
956 = "费城" 	# Philadelphie
958 = "索诺图尼" 	# Sonnontouanie
959 = "谢隆顿" 	# Cherontons
960 = "翁农塔盖" 	# Onnontagué
961 = "翁内尤" 	# Onneyout
963 = "新圣通日" 	# Nouvelle Saintonge
964 = "阿涅尔" 	# Agniers
965 = "新昂古莱姆" 	# Nouv. Angoulême
967 = "圣母湾" 	# Baye Notre-Dame
968 = "白湾" 	# Baye Blanche
970 = "绿角" 	# Pointe Verte
980 = "圣克莱尔湾" 	# Baye Sainte-Claire
981 = "贝尔岛" 	# Belle Isle
982 = "皇家岛" 	# Ile Royale
983 = "圣让岛" 	# Ile Saint-Jean
984 = "阿卡迪" 	# Acadie
985 = "米拉米奇" 	# Miramichi
986 = "加斯佩" 	# Gaspé
988 = "于罗尼" 	# Huronie
989 = "卡塔拉基" 	# Cataraqui
990 = "三河城" 	# Trois-Rivières
991 = "马塔万" 	# Mataouane
992 = "加蒂诺" 	# Gatineau
993 = "蒙特利尔" 	# Montréal
994 = "魁北克" 	# Québec
996 = "梅卡蒂纳" 	# Mécatina
997 = "贝伊鲁日" 	# Baie Rouge
998 = "大鲸城" 	# Grande-Baleine
999 = "格兰德" 	# La Grande
1000 = "圣雅克堡" 	# Fort Saint-Jacques
1001 = "苏圣玛丽" 	# Saults Sainte-Marie
1003 = "圣路易堡" 	# Fort Saint-Louis
1004 = "圣安娜堡" 	# Fort Sainte-Anne
1005 = "波旁堡" 	# Fort Bourbon
1006 = "丹麦河" 	# Rivière Danoise
1007 = "喀米尼斯蒂吉亚" 	# Kaministiquia
1008 = "红河" 	# Rivière Rouge
1010 = "多芬" 	# Dauphin
1011 = "巴斯基亚" 	# Pasquia
1101 = "查戈斯群岛" 	# Chagos
1177 = {
  "勒开普" 	# Le Cap
  "勒开普" 	# Le Cap
}
1813 = "拉科恩" 	# La Corne
2007 = "莱斯塞德雷斯" 	# Les Cedres
2010 = "康涅狄格" 	# Coneticout
2012 = "芒弗雷玛戈" 	# Memphrémagog
2013 = "奥尔塞恩" 	# Horsaines
2015 = "内皮贡" 	# Népigon
2016 = "大福尔施" 	# Grandes Fourches
2023 = "卡兰图尼" 	# Carantouanie
2512 = "博阿努瓦" 	# Beauharnois
2513 = "勒阿尔普" 	# La Harpe
2514 = "圣热纳维夫" 	# Sainte Geneviève
2515 = "法耶特维尔" 	# Fayetteville
2517 = "千湖" 	# Milles Lacs
2518 = "柏安特" 	# La Pointe
2528 = "亚祖" 	# Yazou
2520 = "马萨克" 	# Massac
2521 = "萨吉诺" 	# Saguinaw
2522 = "圣约瑟夫" 	# Saint Joseph
2523 = "万塞讷" 	# Vincennes
2525 = "拉罗什河" 	# Rivière à la Roche
2530 = "比洛克西" 	# Bilocci
2532 = "汤贝克贝" 	# Tombecbé
2542 = "博福尔" 	# Beaufort
2555 = "迪凯纳堡" 	# Fort Duquesne
2561 = "白角" 	# Cap Blanc
2559 = "卡里荣" 	# Carillon
2563 = "弗尔蒙" 	# Vermont
2566 = "蓬塔古埃" 	# Pentagouet
2568 = "萨布勒角" 	# Cap de Sable
2569 = "谢达布克图" 	# Chedabouctou
2570 = "圣让" 	# Saint Jean
2572 = "米斯库" 	# Miscou
2573 = "普莱桑斯" 	# Plaisance
2575 = "利哥莱" 	# Rigolet
2577 = "七岛港" 	# Sept Iles
2579 = "马布豪恩" 	# Métabéchouane
2580 = "圣莫里斯" 	# Saint-Maurice
2581 = "特密斯卡明格" 	# Témiscamingue
2582 = "下圣洛朗" 	# Bas St-Laurent
2583 = "莱维" 	# Lévis
2584 = "黎塞留" 	# Richelieu
2585 = "洛里尼亚尔" 	# L'Orignal
2586 = "诺泰华圣加" 	# Nottawasaga
2587 = "马尼图林" 	# Manitoulin
2588 = "拉克洛什" 	# La Cloche
2592 = "尼索恩" 	# Nieusauane
2593 = "布瓦湖" 	# Lac des Bois
2595 = "拉克罗斯岛" 	# Ile à la Crosse
2599 = "拉比什湖" 	# Lac la Biche
2669 = "杜特" 	# Le Dout
2670 = "杜维尔" 	# Douville
2671 = "龙德" 	# Ronde
884 = "圣路易湾" 	# Baye Saint-Louis
887 = "托奥" 	# Toaux
901 = "帕尼" 	# Panis
903 = "马阿" 	# Mahas
920 = "恰塔" 	# Tchattas
928 = "阿巴拉施" 	# Apalache
929 = "新塞纳" 	# Nouvelle-Seine
930 = "沙托" 	# Chattaux
932 = "查理堡" 	# Charlefort
935 = "谢拉基" 	# Cheraquie
938 = "特朗斯法尔加尔" 	# Transfalgard
939 = "卡斯基南博" 	# Casquinambaux
951 = "索尼奥托" 	# Sonhioto
952 = "波瓦坦" 	# Pouhatang
955 = "安达斯特" 	# Andastes
957 = "德罗巴" 	# Delorbée
962 = "五月角" 	# Cap de Mai
2011 = "阿科纳谢纳" 	# Acconachena
2498 = "乔曼斯" 	# Choumans
2499 = "卡瓦谢" 	# Caouachés
2516 = "阿达耶" 	# Adaïé
2526 = "卡希克托" 	# Cachiqueto
2533 = "圣罗丝" 	# Sainte Rose
2535 = "卡鲁沙" 	# Caloucha
2538 = "亚美斯" 	# Yamésez
2539 = "圣马蒂厄" 	# Saint Mathieu
2540 = "卡乌伊塔" 	# Caouitas
2547 = "拉马格德莱娜" 	# La Magdelaine
2548 = "新河" 	# Nouvelle-Rivière
2551 = "马朗格莱" 	# Malanghelé
2553 = "帕图梅克" 	# Patoumek
2558 = "埃索普" 	# Ésope
2564 = "索科基" 	# Socoquis
2639 = "昂布瓦" 	# Ambois
2665 = "比代耶" 	# Bidaye
2669 = "阿西纳伊" 	# Assinaïs
101 = "热那亚" 	# Gênes
102 = "尼斯" 	# Nice
