722 = "哲里木"  # Jirem
724 = "呼伦贝尔"  # Hulunbuir
2109 = "白都讷"  # Boduka
726 = "盛京"  # Mukden
728 = "托温"  # Tuwan
731 = "伊兰哈拉"  # Ilan Hala
729 = "博霍里"  # Bohori
730 = "吉林"  # Girin
2107 = "宁古塔"  # Ningguta
1049 = "海兰泡"  # Hailanboo
1050 = "台伦"  # Deren
1053 = "兴安"  # Hinggan
1816 = "北京"  # Beiging
2106 = "富尔丹"  # Furdan
2110 = "叶赫"  # Yehe
2111 = "兴京"  # Hetu Ala
725 = "齐齐哈尔"  # Cicigar
2187 = "萨尔图"  # Sartu
2188 = "阿尔楚喀"  # Alchuka
2185 = "墨尔根"  # Mergen
727 = "瑷珲"  # Aigun
2104 = "布列亚"  # Birija
1048 = "庙街"  # Miyoo Gasan
2105 = "库噜"  # Kuru
2186 = "尼满"  # Iman
1850 = "雅兰"  # Yaran
2155 = "台中"  # Dàdun
