1 = "斯德哥尔摩"  # Sztokholm
3 = "斯莫兰迪亚"  # Smalandia
12 = "哥本哈根"  # Kopenhaga
14 = "菲奥尼亚"  # Fionia
13 = "石勒苏益格"  # Szlezwik
15 = "西胡特兰迪亚"  # Jutlandia Srodkowa
19 = "东博腾"  # Ostrobotnia
25 = "哥特兰迪亚"  # Gotlandia
27 = "图尔库"  # Turku
30 = "维堡"  # Wyborg
31 = "萨沃尼亚"  # Sawonia
35 = "奥兹里亚"  # Ozylia
36 = "雷瓦尔"  # Rewel
37 = "利弗兰"  # Liwonia
38 = "里加"  # Ryga
39 = "戈尔丁"  # Goldynga
40 = "克莱佩达"  # Klajpeda
41 = "克鲁列维茨"  # Królewiec
42 = "瓦尔米亚"  # Warmia
43 = "格但斯克"  # Gdansk
45 = "吕贝克"  # Lubeka
55 = "奥尔登堡"  # Oldenburk
2996 = "维绍米日"  # Zwierzyn
2994 = "沃沃戈什"  # Gryfia
2995 = "斯武普斯克"  # Slupsk
49 = "桑托克"  # Lubusz
50 = "雷平"  # Berolin
51 = "雷平"  # Rypin
2964 = "哈弗尔贝格"  # Stara Marchia
57 = "不伦瑞克"  # Brunszwik
59 = "比亚拉戈拉"  # Wittenberga
60 = "布齐申"  # Budziszyn
61 = "德累兹诺"  # Drezno
62 = "利普斯克"  # Lipsk
63 = "雅罗布鲁德"  # Jarobród
2957 = "雷根斯堡"  # Ratyzbona
65 = "慕尼黑"  # Monachium
67 = "诺雷姆堡"  # Norymberga
70 = "符腾堡"  # Wirtembergia
72 = "布雷斯戈维亚"  # Bryzgowia
74 = "巴登尼亚"  # Badenia
75 = "斯特拉斯堡"  # Alzacja
78 = "莫贡恰"  # Moguncja
80 = "特里尔"  # Trewir
82 = "韦斯伐里亚"  # Westfalia
85 = "科隆"  # Kolonia
86 = "明斯特"  # Monastyr
89 = "皮卡迪亚"  # Pikardia
90 = "佛兰德里亚"  # Flandria
92 = "布拉班特里亚"  # Brabancja
94 = "卢森堡"  # Luksemburg
96 = "西兰"  # Zelandia
99 = "海尔德里亚"  # Geldria
100 = "弗里西亚"  # Fryzja
103 = "都灵"  # Turyn
104 = "Mediolan"
112 = "威尼西亚"  # Wenecja
114 = "拉文纳"  # Rawenna
116 = "佛罗伦齐亚"  # Florencja
128 = "下卡伦蒂亚"  # Dolna Karyntia
130 = "伊斯特里亚"  # Istria
131 = "萨格拉布"  # Zagrzeb
137 = "杜布罗夫尼克"  # Dubrownik
134 = "维也纳"  # Wieden
139 = "扎克卢米亚"  # Zahumle
146 = "Ateny"
4704 = "蒂尔诺奥"  # Tyrnowo
152 = "瓦拉日丁"  # Warazdyn
153 = "佩什特"  # Peszt
154 = "Nowe Zamki"
155 = "贝凯什"  # Bekesz
156 = "泰迈什"  # Temesz
161 = "特尔戈维兹"  # Targowisz
162 = "曾普林"  # Zemplin
163 = "克里特"  # Kreta
164 = "纳克索斯"  # Naksos
178 = "Andegawenia"
182 = "Walezja"
183 = "巴黎"  # Paryz
184 = "奥尔良"  # Orlean
189 = "洛塔林吉亚"  # Lotaryngia
196 = "图卢兹"  # Tuluza
199 = "奥韦尔尼亚"  # Owernia
201 = "Prowansja"
202 = "阿维尼翁"  # Awinion
209 = "比斯开"  # Bizkaja
253 = "Hebrydy Zewnetrzne"
254 = "波兹南"  # Poznan
257 = "华沙"  # Warszawa
261 = "特伦博夫拉"  # Trembowla
262 = "克拉科夫"  # Kraków
263 = "拉齐布日"  # Racibórz
264 = "弗罗茨瓦夫"  # Wroclaw
265 = "伯尔尼"  # Berno
266 = "布拉格"  # Praga
267 = "比尔兹诺"  # Pilzno
2405 = "特希尼亚"  # Tiahin
269 = "波德拉谢"  # Podlasie
270 = "特洛基"  # Troki
271 = "日穆奇"  # Zmudz
272 = "维利诺"  # Wilno
273 = "因弗兰特"  # Latgalia
274 = "普斯科夫"  # Psków
275 = "波洛茨克"  # Polock
277 = "布热希奇"  # Brzesc
279 = "沃伦"  # Wolyn
280 = "基辅"  # Kijów
281 = "卡缅涅茨"  # Kamieniec
282 = "耶德桑"  # Jedysan
283 = "扎波罗热"  # Zaporoze
284 = "克里木"  # Krym
285 = "卡法"  # Teodozja
289 = "切尔尼戈夫"  # Czernihów
290 = "波尔塔瓦"  # Poltawa
291 = "哈尔科夫"  # Charków
292 = "莫希列夫"  # Mohylew
294 = "特维尔"  # Twer
295 = "莫斯科"  # Moskwa
297 = "布良斯克"  # Briansk
299 = "沃罗涅日"  # Woronez
301 = "梁赞"  # Riazan
308 = "雅罗斯瓦夫"  # Jaroslaw
310 = "诺夫哥罗德"  # Nowogród Wielki
311 = "霍乌姆"  # Cholm
312 = "比罗杰洛"  # Bieloziero
313 = "阿尔汉格尔斯克"  # Archangielsk
328 = "西诺派"  # Synopa
330 = "特劳派尊特"  # Trapezunt
367 = "亚速尔"  # Azory
368 = "马德拉"  # Madera
370 = "雷克雅未克"  # Rejkiawik
397 = "Dubaj"
407 = "拉卡"  # Rakka
419 = "Jerywan"
420 = "甘扎"  # Gandza
421 = "巴库"  # Baku
475 = "巴什科尔托斯坦"  # Baszkiria
668 = "澳门"  # Makau
507 = "Lahaur"
574 = "安达曼尼"  # Andamany
613 = "河内"  # Hanoi
667 = "广州"  # Kanton
716 = "唐努图瓦"  # Tannu Tuwa
979 = "阿勒乌第"  # Aleuty
1020 = "京都"  # Kioto
1021 = "大阪"  # Osaka
1028 = "东京"  # Tokio
1033 = "萨哈林"  # Poludniowy Sachalin
1034 = "堪察加"  # Kamczatka
1038 = "科里亚克"  # Korjak
1043 = "Ochock"
4658 = "Pólnocny Sachalin"
1060 = "伊尔库茨克"  # Irkuck
1063 = "娑禅"  # Sajan
1072 = "贾迈勒"  # Jamal
1075 = "丢明"  # Tiumen
1079 = "维亚特卡"  # Kirow
1082 = "Casanum"
1095 = "福克兰群岛"  # Falklandy
1099 = "索科特拉岛"  # Sokotra
1111 = "阿尔金"  # Arkin
1139 = "Zlote Wybrzeze"
1205 = "摩加迪沙"  # Mogadiszu
1247 = "科西卡"  # Korsyka
1248 = "马尔代夫"  # Malediwy
1742 = "林堡"  # Limburgia
1744 = "安特卫比亚"  # Antwerpia
1745 = "坎塔布里亚"  # Kantabria
1771 = "鲁达维"  # Rudawy
1772 = "布拉迪斯拉发"  # Bratyslawa
1752 = "热夫"  # Rzew
1756 = "比萨拉比亚"  # Besarabia
1757 = "上普法尔茨"  # Górny Palatynat
1758 = "汉诺威"  # Hanower
1759 = "波斯塔平"  # Poczdam
1760 = "科布伦茨"  # Koblencja
1761 = "普法尔茨"  # Palatynat
1763 = "武日察"  # Chociebuz
1766 = "科索沃"  # Kosowo
1767 = "斯洛沃尼亚"  # Slawonia
1775 = "荷尔斯泰因"  # Holsztyn
1778 = "卡西莫夫"  # Kasimow
1816 = "北京"  # Pekin
1827 = "拉什卡"  # Raszka
1828 = "Nizsze Regiony"
1837 = "多帕特"  # Dorpat
1841 = "马尔堡"  # Malbork
2106 = "Wladywostok"
1951 = "胡尼奥德"  # Chuniad
3263 = "Negew"
1856 = "阿布哈兹"  # Abchazja
1858 = "什切青"  # Szczecin
1859 = "切尔诺"  # Chelmno
1863 = "格罗杰茨"  # Grodziec
1864 = "绍莫代"  # Szomoda
1865 = "Gandawa"
1873 = "格雷若尼亚"  # Gryzonia
1874 = "布雷马"  # Brema
1878 = "阿克维兹格兰"  # Akwizgran
1931 = "Fryzja Wschodnia"
1935 = "米塔瓦"  # Mitawa
1936 = "科夫诺"  # Kowno
1941 = "图卢夫"  # Turów
1942 = "日托梅尔兹"  # Zytomierz
1943 = "布拉茨瓦夫"  # Braclaw
1944 = "切尔卡瑟"  # Czerkasy
