183 = "巴黎"  # Bahliz
664 = "凌云"  # Lingzyinz
2163 = "柳州"  # Liujcouh
667 = "广州"  # Gvangjcouh
668 = "澳门"  # Aumwnz
669 = "福州"  # Fuzcouh
671 = "长沙"  # Cangzsah
674 = "贵阳"  # Gveiyangz
679 = "成都"  # Cwngzduh
680 = "重庆"  # Cungzcing
683 = "南昌"  # Nanzcangh
684 = "杭州"  # Hangzcouh
738 = "台南"  # Daiznanz
1816 = "北京"  # Baekging
1821 = "南京"  # Nanzging
1838 = "合肥"  # Hozfeiz
1840 = "桂林"  # Gveilinz
4815 = "新加坡"  # Saengyabo
2032 = "香港"  # Yanghgangj
677 = "拉萨"  # Lazsaz
2164 = "南宁"  # Namzningz
2162 = "梧州"  # Ngouzcouh
2155 = "台中"  # Daizcungh
2154 = "台北"  # Daizbaek
